stark,star1,star2,star3,totexpk,treadssk,tmathssk,totexp1,treadss1,tmathss1,totexp2,treadss2,tmathss2,treadss3,tmathss3,totexp3,schidkn,schid1n,schid2n,schid3n,tscorek,tscore1,tscore2,tscore3,sck,sc1,sc2,sc3,rak,ra1,ra2,ra3,white,black,other,boy,freelunk,freelun1,freelun2,freelun3
1.0,1.0,1.0,1.0,18.0,490.0,528.0,13.0,571.0,572.0,9.0,586.0,561.0,631.0,589.0,15.0,52.0,52.0,52.0,52.0,1018.0,1143.0,1147.0,1220.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2.0,2.0,2.0,13.0,439.0,484.0,,,,,,,,,,54.0,,,,923.0,,,,0.0,,,,0.0,,,,1.0,0.0,0.0,1.0,0.0,,,
1.0,2.0,2.0,2.0,12.0,424.0,459.0,,,,,,,,,,12.0,,,,883.0,,,,0.0,,,,1.0,,,,1.0,0.0,0.0,0.0,1.0,,,
1.0,1.0,1.0,2.0,1.0,437.0,528.0,23.0,503.0,497.0,10.0,559.0,543.0,,,,21.0,21.0,21.0,,965.0,1000.0,1102.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,
2.0,1.0,1.0,1.0,,,,42.0,503.0,538.0,15.0,566.0,552.0,565.0,580.0,9.0,,63.0,63.0,63.0,,1041.0,1118.0,1145.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
1.0,1.0,1.0,1.0,8.0,422.0,478.0,14.0,544.0,502.0,6.0,643.0,568.0,647.0,610.0,2.0,76.0,77.0,77.0,77.0,900.0,1046.0,1211.0,1257.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,13.0,424.0,559.0,16.0,501.0,545.0,18.0,577.0,593.0,622.0,691.0,12.0,79.0,79.0,79.0,79.0,983.0,1046.0,1170.0,1313.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2.0,1.0,1.0,2.0,,,,8.0,521.0,557.0,17.0,,,,,,,9.0,9.0,,,1078.0,,,,0.0,0.0,,,1.0,1.0,,1.0,0.0,0.0,1.0,,0.0,,
1.0,1.0,2.0,2.0,5.0,,,2.0,477.0,484.0,,,,,,,1.0,1.0,,,,961.0,,,0.0,0.0,,,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,,
2.0,2.0,1.0,1.0,,,,,,,19.0,481.0,500.0,536.0,546.0,0.0,,,13.0,13.0,,,981.0,1082.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,
1.0,2.0,2.0,2.0,13.0,431.0,454.0,,,,,,,,,,8.0,,,,885.0,,,,0.0,,,,0.0,,,,1.0,0.0,0.0,1.0,0.0,,,
2.0,2.0,1.0,1.0,,,,,,,40.0,596.0,620.0,608.0,672.0,5.0,,,29.0,29.0,,,1216.0,1280.0,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0,1.0
2.0,2.0,2.0,1.0,,,,,,,,,,,,2.0,,,,29.0,,,,,,,,0.0,,,,1.0,0.0,1.0,0.0,0.0,,,,1.0
1.0,1.0,2.0,2.0,3.0,451.0,473.0,8.0,439.0,463.0,,,,,,,66.0,66.0,,,924.0,902.0,,,0.0,0.0,,,1.0,1.0,,,1.0,0.0,0.0,1.0,0.0,1.0,,
1.0,1.0,1.0,1.0,14.0,456.0,602.0,5.0,492.0,515.0,9.0,549.0,587.0,580.0,614.0,13.0,59.0,59.0,59.0,59.0,1058.0,1007.0,1136.0,1194.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,,,,15.0,521.0,502.0,20.0,542.0,530.0,612.0,549.0,14.0,,60.0,60.0,60.0,,1023.0,1072.0,1161.0,,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0
2.0,2.0,1.0,1.0,,,,,,,21.0,568.0,548.0,588.0,582.0,32.0,,,51.0,51.0,,,1116.0,1170.0,,,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0
1.0,2.0,2.0,2.0,11.0,421.0,459.0,,,,,,,,,,31.0,,,,880.0,,,,0.0,,,,1.0,,,,0.0,1.0,0.0,0.0,1.0,,,
1.0,1.0,1.0,1.0,10.0,463.0,576.0,5.0,478.0,567.0,35.0,582.0,611.0,622.0,642.0,14.0,27.0,27.0,27.0,27.0,1039.0,1045.0,1193.0,1264.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,2.0,8.0,425.0,520.0,16.0,457.0,510.0,12.0,,,,,,17.0,17.0,17.0,,945.0,967.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
1.0,1.0,1.0,1.0,8.0,522.0,559.0,8.0,651.0,627.0,19.0,669.0,659.0,675.0,700.0,16.0,9.0,9.0,9.0,9.0,1081.0,1278.0,1328.0,1375.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,5.0,413.0,459.0,12.0,553.0,553.0,1.0,611.0,603.0,610.0,642.0,18.0,39.0,39.0,39.0,39.0,872.0,1106.0,1214.0,1252.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,2.0,13.0,416.0,513.0,11.0,536.0,578.0,,,,,,,55.0,55.0,,,929.0,1114.0,,,0.0,1.0,,,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,,
2.0,2.0,1.0,2.0,,,,,,,2.0,555.0,611.0,,,,,,33.0,,,,1166.0,,,,0.0,,,,0.0,,0.0,1.0,0.0,1.0,,,1.0,
2.0,1.0,1.0,1.0,,,,36.0,499.0,481.0,31.0,577.0,577.0,612.0,614.0,18.0,,33.0,33.0,33.0,,980.0,1154.0,1226.0,,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0
2.0,1.0,2.0,2.0,,,,23.0,457.0,449.0,,,,,,,,51.0,,,,906.0,,,,1.0,,,,0.0,,,1.0,0.0,0.0,0.0,,0.0,,
1.0,2.0,2.0,2.0,0.0,419.0,423.0,,,,,,,,,,27.0,,,,842.0,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,0.0,1.0,,,
1.0,2.0,2.0,2.0,3.0,431.0,494.0,,,,,,,,,,58.0,,,,925.0,,,,0.0,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,,
2.0,1.0,1.0,1.0,,,,13.0,,500.0,11.0,,,,543.0,16.0,,70.0,70.0,70.0,,,,,,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
2.0,2.0,1.0,1.0,,,,,,,13.0,539.0,533.0,531.0,562.0,13.0,,,26.0,26.0,,,1072.0,1093.0,,,0.0,0.0,,,1.0,1.0,0.0,1.0,0.0,1.0,,,1.0,1.0
2.0,2.0,2.0,1.0,,,,,,,,,,608.0,672.0,36.0,,,,74.0,,,,1280.0,,,,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,0.0
1.0,1.0,1.0,1.0,8.0,418.0,439.0,12.0,475.0,497.0,13.0,526.0,522.0,577.0,585.0,8.0,49.0,50.0,50.0,50.0,857.0,972.0,1048.0,1162.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
1.0,2.0,2.0,2.0,15.0,422.0,434.0,,,,,,,,,,7.0,,,,856.0,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,0.0,1.0,,,
2.0,1.0,1.0,2.0,,,,2.0,460.0,493.0,22.0,515.0,525.0,,,,,23.0,23.0,,,953.0,1040.0,,,0.0,0.0,,,0.0,0.0,,0.0,1.0,0.0,1.0,,0.0,0.0,
1.0,1.0,1.0,1.0,8.0,414.0,434.0,7.0,509.0,497.0,15.0,588.0,517.0,590.0,582.0,13.0,5.0,5.0,5.0,5.0,848.0,1006.0,1105.0,1172.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2.0,1.0,2.0,2.0,,,,1.0,466.0,493.0,,,,,,,,29.0,,,,959.0,,,,0.0,,,,1.0,,,0.0,1.0,0.0,1.0,,1.0,,
2.0,2.0,1.0,1.0,,,,,,,19.0,,,572.0,599.0,16.0,,,9.0,9.0,,,,1171.0,,,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,1.0
1.0,1.0,2.0,2.0,11.0,433.0,454.0,1.0,454.0,458.0,,,,,,,37.0,37.0,,,887.0,912.0,,,0.0,0.0,,,1.0,0.0,,,0.0,1.0,0.0,1.0,1.0,1.0,,
2.0,1.0,2.0,2.0,,,,6.0,544.0,572.0,,,,,,,,50.0,,,,1116.0,,,,1.0,,,,0.0,,,1.0,0.0,0.0,1.0,,0.0,,
2.0,2.0,2.0,1.0,,,,,,,,,,,,8.0,,,,25.0,,,,,,,,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,,1.0
2.0,1.0,2.0,2.0,,,,5.0,519.0,523.0,,,,,,,,68.0,,,,1042.0,,,,0.0,,,,0.0,,,0.0,1.0,0.0,0.0,,1.0,,
2.0,2.0,1.0,2.0,,,,,,,16.0,503.0,515.0,,,,,,16.0,,,,1018.0,,,,0.0,,,,1.0,,0.0,1.0,0.0,1.0,,,1.0,
1.0,1.0,1.0,2.0,10.0,450.0,484.0,12.0,,510.0,14.0,,,,,,70.0,70.0,70.0,,934.0,,,,0.0,1.0,1.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,1.0,1.0,4.0,458.0,559.0,27.0,521.0,542.0,10.0,596.0,572.0,606.0,582.0,4.0,40.0,40.0,40.0,40.0,1017.0,1063.0,1168.0,1188.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,7.0,445.0,459.0,18.0,553.0,526.0,22.0,579.0,557.0,624.0,589.0,8.0,9.0,9.0,9.0,9.0,904.0,1079.0,1136.0,1213.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2.0,2.0,1.0,1.0,,,,,,,23.0,577.0,545.0,629.0,599.0,9.0,,,9.0,9.0,,,1122.0,1228.0,,,1.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,1.0
1.0,1.0,2.0,2.0,17.0,439.0,506.0,14.0,451.0,538.0,,,,,,,48.0,48.0,,,945.0,989.0,,,1.0,1.0,,,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,1.0,,
1.0,1.0,1.0,1.0,12.0,476.0,576.0,15.0,564.0,601.0,14.0,637.0,620.0,686.0,700.0,36.0,10.0,10.0,10.0,10.0,1052.0,1165.0,1257.0,1386.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,,,,0.0,530.0,567.0,1.0,555.0,615.0,675.0,608.0,3.0,,45.0,45.0,45.0,,1097.0,1170.0,1283.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0
2.0,1.0,2.0,2.0,,,,1.0,590.0,592.0,,,,,,,,64.0,,,,1182.0,,,,1.0,,,,0.0,,,1.0,0.0,0.0,0.0,,0.0,,
1.0,1.0,1.0,1.0,4.0,467.0,484.0,2.0,604.0,567.0,2.0,659.0,626.0,686.0,663.0,13.0,80.0,80.0,80.0,80.0,951.0,1171.0,1285.0,1349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,606.0,591.0,9.0,,,,63.0,,,,1197.0,,,,0.0,,,,0.0,1.0,0.0,0.0,1.0,,,,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,,,7.0,,,,59.0,,,,,,,,0.0,,,,0.0,1.0,0.0,0.0,1.0,,,,0.0
1.0,1.0,1.0,1.0,10.0,416.0,434.0,5.0,454.0,510.0,13.0,,,624.0,601.0,3.0,28.0,28.0,28.0,28.0,850.0,964.0,,1225.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,2.0,2.0,1.0,0.0,480.0,528.0,,,,,,,657.0,663.0,5.0,43.0,,,43.0,1008.0,,,1320.0,1.0,,,1.0,0.0,,,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0
2.0,2.0,1.0,2.0,,,,,,,15.0,618.0,639.0,,,,,,77.0,,,,1257.0,,,,0.0,,,,1.0,,1.0,0.0,0.0,0.0,,,1.0,
2.0,2.0,2.0,1.0,,,,,,,,,,593.0,604.0,10.0,,,,39.0,,,,1197.0,,,,0.0,,,,1.0,1.0,0.0,0.0,1.0,,,,1.0
1.0,2.0,2.0,2.0,16.0,437.0,478.0,,,,,,,,,,41.0,,,,915.0,,,,0.0,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,,
2.0,2.0,2.0,1.0,,,,,,,,,,602.0,567.0,25.0,,,,15.0,,,,1169.0,,,,0.0,,,,1.0,0.0,1.0,0.0,1.0,,,,1.0
1.0,1.0,1.0,1.0,18.0,465.0,602.0,18.0,590.0,612.0,15.0,650.0,699.0,665.0,726.0,5.0,41.0,41.0,41.0,41.0,1067.0,1202.0,1349.0,1391.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,,,,7.0,604.0,538.0,8.0,611.0,563.0,639.0,624.0,8.0,,50.0,50.0,50.0,,1142.0,1174.0,1263.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0
2.0,1.0,1.0,1.0,,,,1.0,492.0,490.0,12.0,526.0,504.0,573.0,556.0,14.0,,22.0,22.0,22.0,,982.0,1030.0,1129.0,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,614.0,603.0,10.0,,,,23.0,,,,1217.0,,,,0.0,,,,0.0,0.0,1.0,0.0,1.0,,,,1.0
1.0,1.0,1.0,2.0,4.0,407.0,439.0,2.0,460.0,510.0,28.0,499.0,492.0,,,,40.0,40.0,40.0,,846.0,970.0,991.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,
1.0,1.0,1.0,1.0,12.0,487.0,547.0,5.0,509.0,526.0,35.0,579.0,620.0,633.0,634.0,9.0,27.0,27.0,27.0,27.0,1034.0,1035.0,1199.0,1267.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,2.0,2.0,8.0,425.0,489.0,10.0,516.0,578.0,,,,,,,61.0,61.0,,,914.0,1094.0,,,0.0,0.0,,,1.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,,
1.0,1.0,1.0,1.0,14.0,447.0,500.0,4.0,487.0,497.0,25.0,560.0,528.0,560.0,585.0,21.0,21.0,21.0,21.0,21.0,947.0,984.0,1088.0,1145.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,1.0,,,,,,,11.0,549.0,572.0,585.0,596.0,19.0,,,75.0,75.0,,,1121.0,1181.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0
1.0,1.0,1.0,1.0,13.0,430.0,468.0,6.0,590.0,542.0,17.0,622.0,577.0,647.0,614.0,10.0,8.0,8.0,8.0,8.0,898.0,1132.0,1199.0,1261.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,2.0,2.0,15.0,,444.0,,,,,,,,,,43.0,,,,,,,,1.0,,,,0.0,,,,1.0,0.0,0.0,0.0,0.0,,,
2.0,1.0,2.0,2.0,,,,0.0,540.0,526.0,,,,,,,,48.0,,,,1066.0,,,,0.0,,,,1.0,,,1.0,0.0,0.0,1.0,,0.0,,
2.0,1.0,2.0,2.0,,,,7.0,442.0,472.0,,,,,,,,2.0,,,,914.0,,,,0.0,,,,1.0,,,1.0,0.0,0.0,0.0,,1.0,,
1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,28.0,,,,,,,,1.0,,,,0.0,,,,0.0,1.0,0.0,0.0,1.0,,,
2.0,2.0,1.0,1.0,,,,,,,15.0,515.0,500.0,,,16.0,,,9.0,9.0,,,1015.0,,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,
1.0,2.0,2.0,2.0,14.0,480.0,547.0,,,,,,,,,,21.0,,,,1027.0,,,,1.0,,,,0.0,,,,1.0,0.0,0.0,0.0,0.0,,,
2.0,2.0,1.0,1.0,,,,,,,19.0,591.0,582.0,610.0,622.0,16.0,,,9.0,9.0,,,1173.0,1232.0,,,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,1.0
2.0,2.0,1.0,2.0,,,,,,,8.0,,,,,,,,1.0,,,,,,,,1.0,,,,0.0,,,,,0.0,,,1.0,
2.0,2.0,1.0,2.0,,,,,,,27.0,,,,,,,,67.0,,,,,,,,0.0,,,,1.0,,0.0,0.0,1.0,0.0,,,1.0,
2.0,1.0,2.0,1.0,,,,23.0,590.0,512.0,,,,620.0,601.0,21.0,,3.0,,3.0,,1102.0,,1221.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,0.0,1.0,,0.0,,0.0
1.0,1.0,1.0,1.0,5.0,440.0,513.0,2.0,604.0,545.0,19.0,643.0,570.0,633.0,596.0,1.0,47.0,47.0,47.0,47.0,953.0,1149.0,1213.0,1229.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,2.0,,,,5.0,445.0,474.0,,,,,,,,2.0,,,,919.0,,,,0.0,,,,0.0,,,1.0,0.0,0.0,0.0,,1.0,,
2.0,2.0,2.0,1.0,,,,,,,,,,616.0,596.0,13.0,,,,26.0,,,,1212.0,,,,0.0,,,,1.0,0.0,1.0,0.0,0.0,,,,1.0
