statefip,year,race,bmprison,wmprison,bmpop,wmpop,error,crack,alcohol,income,ur,poverty,black,perc1519,aidscapita,state,parole,probation,capacity_rated,capacity_operational,capacity_design,bmprate,wmprate
1.0,1995.0,1.0,12715.0,6654.0,508686.0,1519243.0,0.0,1.1558480262756348,1.809999942779541,19441.0,5.224999904632568,20.100000381469727,26.356557846069336,7.491947650909424,8.448147773742676,Alabama,7793.0,33410.0,19262.0,19262.0,19262.0,2499.577392578125,437.9812927246094
1.0,1996.0,2.0,13397.0,6940.0,511698.0,1526095.0,0.0,1.5492240190505981,1.8600000143051147,20081.0,4.491666793823242,14.0,26.44337272644043,7.546878337860107,7.85019588470459,Alabama,4966.0,37865.0,19927.0,19927.0,19927.0,2618.145751953125,454.75543212890625
1.0,1997.0,1.0,13784.0,7070.0,517823.0,1535043.0,0.0,1.5909459590911865,1.809999942779541,20930.0,4.441666603088379,15.699999809265137,26.610456466674805,7.538459300994873,4.326987266540527,Alabama,6356.0,38720.0,20412.0,20412.0,20412.0,2661.913330078125,460.57342529296875
1.0,1998.0,2.0,14080.0,7062.0,522833.0,1544778.0,0.0,1.657981038093567,1.850000023841858,22025.0,3.883333444595337,14.5,26.709409713745117,7.49340295791626,4.290870189666748,Alabama,5221.0,40379.0,21800.0,21800.0,21800.0,2693.0205078125,457.153076171875
1.0,1999.0,2.0,15206.0,7788.0,526111.0,1550875.0,0.0,1.5490750074386597,1.8700000047683716,22722.0,4.275000095367432,15.199999809265137,26.842971801757812,7.399064540863037,3.656768560409546,Alabama,4875.0,40595.0,21800.0,21800.0,21800.0,2890.2646484375,502.1681213378906
1.0,2000.0,1.0,14727.0,7358.0,535994.0,1544425.0,0.0,0.8435713052749634,1.8799999952316284,23764.0,4.066666603088379,13.300000190734863,26.93611717224121,7.243481636047363,3.930839776992798,Alabama,5484.0,40178.0,,22806.0,22806.0,2747.60546875,476.42327880859375
2.0,1985.0,1.0,198.0,1238.0,11305.0,220999.0,0.0,-0.009791400283575058,3.7799999713897705,20321.0,9.658332824707031,8.699999809265137,5.335529327392578,7.457479953765869,1.3142257928848267,Alaska,155.0,2606.0,1968.0,1968.0,1968.0,1751.4373779296875,560.1835327148438
2.0,1986.0,2.0,211.0,1313.0,11734.0,225494.0,0.0,1.481590986251831,3.509999990463257,19807.0,11.024999618530273,11.399999618530273,5.303469657897949,7.407380104064941,2.204468011856079,Alaska,119.0,2885.0,2336.0,,,1798.1932373046875,582.2771606445312
2.0,1987.0,1.0,217.0,1348.0,11805.0,222399.0,0.0,1.6124260425567627,3.4600000381469727,19357.0,10.166666984558105,12.0,5.2643938064575195,7.298058986663818,1.1123676300048828,Alaska,435.0,2941.0,,2356.0,,1838.2041015625,606.1178588867188
2.0,1988.0,2.0,271.0,1380.0,12026.0,222289.0,0.0,1.9764410257339478,3.319999933242798,19907.0,8.741666793823242,11.0,5.230387210845947,7.155678749084473,1.291372299194336,Alaska,489.0,2994.0,,2793.0,,2253.450927734375,620.8134155273438
2.0,1989.0,2.0,310.0,1420.0,12363.0,223555.0,0.0,1.1548049449920654,3.2699999809265137,21628.0,6.933333396911621,10.5,5.197924613952637,6.953239917755127,2.010399341583252,Alaska,533.0,3335.0,2596.0,,,2507.48193359375,635.1904296875
2.0,1990.0,2.0,288.0,1390.0,12655.0,225383.0,0.0,-1.1660120487213135,3.3299999237060547,22804.0,7.058333396911621,11.399999618530273,5.036439895629883,6.837101936340332,1.8073704242706299,Alaska,568.0,3599.0,2808.0,,,2275.7802734375,616.7279663085938
2.0,1991.0,1.0,314.0,1414.0,12748.0,232303.0,0.0,-0.34112659096717834,3.109999895095825,23161.0,8.266666412353516,11.800000190734863,4.953708171844482,6.857327461242676,3.332205057144165,Alaska,568.0,3744.0,2523.0,2602.0,,2463.131591796875,608.6878051757812
2.0,1992.0,2.0,327.0,1377.0,13409.0,239839.0,0.0,-0.9158391952514648,3.0199999809265137,23786.0,8.949999809265137,10.199999809265137,5.162543296813965,6.95948600769043,2.8875420093536377,Alaska,710.0,3014.0,2472.0,,,2438.66064453125,574.1351318359375
2.0,1993.0,2.0,313.0,1325.0,14149.0,243292.0,0.0,-0.12049289792776108,2.549999952316284,24538.0,7.666666507720947,9.100000381469727,5.46110200881958,7.015141010284424,4.504263877868652,Alaska,685.0,3214.0,2523.0,2602.0,,2212.17041015625,544.613037109375
2.0,1994.0,1.0,415.0,1492.0,13258.0,244283.0,0.0,0.3289499878883362,3.0299999713897705,25050.0,7.508333206176758,10.199999809265137,5.342024803161621,7.129525661468506,5.138337135314941,Alaska,412.0,2899.0,3044.0,,,3130.185546875,610.7670288085938
2.0,1995.0,1.0,440.0,1630.0,12445.0,244063.0,0.0,1.8886640071868896,2.859999895095825,25504.0,7.0916666984558105,7.099999904632568,5.070835590362549,7.267228126525879,4.798051834106445,Alaska,459.0,3481.0,2603.0,,,3535.556396484375,667.8603515625
2.0,1996.0,1.0,486.0,1651.0,12226.0,244515.0,0.0,2.1472740173339844,2.630000114440918,25805.0,7.458333492279053,8.199999809265137,4.971235275268555,7.464067459106445,4.4366374015808105,Alaska,642.0,3999.0,2603.0,,,3975.135009765625,675.2141723632812
2.0,1997.0,1.0,538.0,1743.0,12403.0,245058.0,0.0,1.0425360202789307,2.559999942779541,26759.0,7.050000190734863,8.800000190734863,5.138916969299316,7.664674282073975,2.2839691638946533,Alaska,472.0,4212.0,2603.0,2603.0,2603.0,4337.66015625,711.2601928710938
2.0,1998.0,1.0,509.0,1732.0,12525.0,246169.0,0.0,-0.5315719246864319,2.740000009536743,27560.0,6.116666793823242,9.399999618530273,5.276637077331543,7.8811869621276855,0.9678480625152588,Alaska,478.0,4274.0,2603.0,2691.0,2603.0,4063.872314453125,703.5816650390625
2.0,1999.0,2.0,467.0,1698.0,12698.0,247685.0,0.0,3.174865961074829,2.819999933242798,28100.0,6.1583333015441895,7.599999904632568,5.323470592498779,7.959934711456299,2.2407922744750977,Alaska,498.0,4547.0,2603.0,2691.0,2603.0,3677.74462890625,685.5481567382812
2.0,2000.0,1.0,474.0,1764.0,11522.0,227328.0,0.0,2.1232690811157227,2.630000114440918,29867.0,6.175000190734863,7.599999904632568,5.375838279724121,8.11871337890625,1.1151859760284424,Alaska,525.0,4779.0,2603.0,2691.0,2603.0,4113.869140625,775.9713134765625
4.0,1985.0,2.0,1297.0,6499.0,49618.0,1412552.0,0.0,0.5632879734039307,3.119999885559082,13769.0,6.333333492279053,10.699999809265137,3.5100438594818115,7.716416358947754,1.350374460220337,Arizona,1717.0,18068.0,6595.0,8452.0,,2613.970703125,460.0892639160156
4.0,1986.0,1.0,1452.0,7148.0,52016.0,1467119.0,0.0,1.3764150142669678,3.140000104904175,14427.0,6.858333587646484,14.300000190734863,3.5032849311828613,7.699373245239258,2.9619016647338867,Arizona,2034.0,20283.0,,9911.0,,2791.44873046875,487.21337890625
4.0,1987.0,2.0,1675.0,8260.0,54649.0,1522856.0,0.0,1.091899037361145,2.990000009536743,14985.0,6.449999809265137,12.800000190734863,3.4939846992492676,7.6082000732421875,4.072678565979004,Arizona,2224.0,23158.0,,10958.0,,3065.014892578125,542.4019165039062
4.0,1988.0,2.0,1775.0,9199.0,56764.0,1564665.0,0.0,2.088886022567749,2.940000057220459,15627.0,6.333333492279053,14.100000381469727,3.4867584705352783,7.485191822052002,5.911133289337158,Arizona,1669.0,25446.0,,12240.0,12240.0,3126.98193359375,587.92138671875
4.0,1989.0,2.0,2033.0,10036.0,58755.0,1601313.0,0.0,1.663288950920105,2.890000104904175,16403.0,5.266666889190674,14.100000381469727,3.479827404022217,7.304398059844971,6.819108963012695,Arizona,2048.0,27340.0,,13304.0,,3460.131103515625,626.7356567382812
4.0,1990.0,2.0,2283.0,10702.0,60199.0,1623649.0,0.0,0.5547590255737305,2.7699999809265137,17005.0,5.275000095367432,13.699999809265137,3.8698525428771973,7.110507488250732,8.143108367919922,Arizona,2711.0,30397.0,,13884.0,,3792.421875,659.1326293945312
4.0,1991.0,2.0,2432.0,11569.0,62770.0,1656907.0,0.0,1.295415997505188,2.7100000381469727,17260.0,5.733333587646484,14.800000190734863,3.9716405868530273,6.788038730621338,8.631211280822754,Arizona,2900.0,31972.0,,14994.0,,3874.46240234375,698.2286987304688
4.0,1992.0,2.0,2654.0,12144.0,65182.0,1701557.0,0.0,1.296787977218628,2.690000057220459,17777.0,7.391666412353516,15.800000190734863,4.031486988067627,6.678226947784424,11.313315391540527,Arizona,3588.0,34647.0,,15520.0,,4071.67626953125,713.6992797851562
4.0,1993.0,2.0,2865.0,13164.0,67667.0,1755789.0,0.0,0.6118447780609131,2.619999885559082,18293.0,6.383333206176758,15.399999618530273,4.069798946380615,6.682548522949219,12.22499942779541,Arizona,4017.0,35534.0,,16089.0,,4233.96923828125,749.7484130859375
4.0,1994.0,2.0,3085.0,14503.0,71775.0,1823889.0,0.0,0.44948020577430725,2.5,19212.0,6.133333206176758,15.899999618530273,4.167428493499756,6.7246174812316895,11.990325927734375,Arizona,4351.0,34365.0,,19651.0,,4298.15380859375,795.1690063476562
4.0,1995.0,2.0,3142.0,15793.0,75939.0,1893058.0,0.0,0.4265882074832916,2.440000057220459,19929.0,5.349999904632568,16.100000381469727,4.259799957275391,6.833052635192871,12.27298641204834,Arizona,4109.0,40614.0,,18486.0,,4137.53125,834.2586669921875
4.0,1996.0,2.0,3172.0,16682.0,79642.0,1947032.0,0.0,1.013008952140808,2.5799999237060547,20823.0,5.550000190734863,20.5,4.356447219848633,6.958778381347656,8.74221134185791,Arizona,3785.0,40607.0,,20270.0,,3982.8232421875,856.791259765625
4.0,1997.0,2.0,3255.0,17490.0,82885.0,2000437.0,0.0,1.006566047668457,2.440000057220459,21861.0,4.5916666984558105,17.200000762939453,4.436450481414795,7.039048194885254,4.4754157066345215,Arizona,3378.0,44813.0,,24137.0,21370.0,3927.1279296875,874.3089599609375
4.0,1998.0,2.0,3444.0,18752.0,86209.0,2051237.0,0.0,2.0668959617614746,2.440000057220459,23216.0,4.3416666984558105,16.600000381469727,4.535817623138428,7.138021469116211,3.686000347137451,Arizona,3742.0,51329.0,,23036.0,23036.0,3994.942626953125,914.1800537109375
4.0,1999.0,1.0,3539.0,10854.0,89427.0,2098789.0,0.0,2.252410888671875,2.509999990463257,24057.0,4.508333206176758,12.199999809265137,4.625890731811523,7.162592887878418,3.563023567199707,Arizona,3715.0,56960.0,,24310.0,24310.0,3957.417724609375,517.1553955078125
4.0,2000.0,2.0,3544.0,10893.0,83691.0,1919107.0,0.0,1.5749640464782715,2.5,25660.0,4.008333206176758,11.699999809265137,4.745077133178711,7.178591251373291,2.47719144821167,Arizona,3474.0,59810.0,,24947.0,24947.0,4234.625,567.6077270507812
5.0,1985.0,1.0,2153.0,2241.0,175163.0,937140.0,0.0,0.1488559991121292,1.75,11260.0,8.516666412353516,22.899999618530273,16.356998443603516,8.163260459899902,0.343698114156723,Arkansas,3891.0,9268.0,,4512.0,,1229.140869140625,239.13182067871094
5.0,1986.0,1.0,2238.0,2237.0,174403.0,939329.0,0.0,0.28980380296707153,1.6299999952316284,11710.0,8.516666412353516,21.299999237060547,16.328840255737305,8.175585746765137,1.0290226936340332,Arkansas,4023.0,12700.0,,4620.0,,1283.23486328125,238.1487274169922
5.0,1987.0,2.0,2536.0,2634.0,174385.0,943946.0,0.0,0.4497964084148407,1.7100000381469727,12085.0,8.149999618530273,21.799999237060547,16.290708541870117,8.097042083740234,1.6220635175704956,Arkansas,3932.0,14609.0,,5400.0,,1454.2535400390625,279.0413818359375
5.0,1988.0,2.0,2646.0,2547.0,173972.0,943533.0,0.0,0.7471895813941956,1.7400000095367432,12901.0,7.675000190734863,21.600000381469727,16.2606143951416,7.977837562561035,2.7314929962158203,Arkansas,3840.0,15931.0,,5530.0,,1520.9344482421875,269.94287109375
5.0,1989.0,1.0,3126.0,2877.0,174003.0,944885.0,0.0,1.4239540100097656,1.7799999713897705,13781.0,7.008333206176758,18.299999237060547,16.232267379760742,7.786586761474609,3.665198564529419,Arkansas,3657.0,15552.0,,5790.0,,1796.520751953125,304.48150634765625
5.0,1990.0,2.0,3648.5,3396.0,174238.0,948187.0,1.0,0.759269118309021,1.8600000143051147,14460.0,6.75,19.600000381469727,16.173076629638672,7.61185884475708,3.182569980621338,Arkansas,3971.0,15983.0,,6535.0,,2093.974853515625,358.1571960449219
5.0,1991.0,1.0,4171.0,3134.0,175808.0,954829.0,0.0,0.8980426788330078,1.809999942779541,15124.0,7.208333492279053,17.299999237060547,16.213159561157227,7.460354804992676,4.615751266479492,Arkansas,3460.0,12858.0,,7335.0,,2372.474609375,328.226318359375
5.0,1992.0,2.0,4449.0,3344.0,178282.0,963524.0,0.0,1.049515962600708,1.899999976158142,16209.0,7.125,17.5,16.284740447998047,7.4477314949035645,4.635792255401611,Arkansas,3460.0,16448.0,,7614.0,,2495.484619140625,347.059326171875
5.0,1993.0,1.0,4642.0,3444.0,180986.0,974800.0,0.0,1.1862859725952148,1.7899999618530273,16619.0,6.133333206176758,20.0,16.33820152282715,7.452053070068359,5.862468719482422,Arkansas,4036.0,16928.0,,8014.0,,2564.83935546875,353.3032531738281
5.0,1994.0,2.0,4612.0,3421.0,182392.0,986274.0,0.0,1.2384740114212036,1.649999976158142,17350.0,5.349999904632568,15.300000190734863,16.31272315979004,7.488996505737305,7.377650260925293,Arkansas,5224.0,19606.0,8044.0,8044.0,8044.0,2528.61962890625,346.86102294921875
5.0,1995.0,1.0,4841.0,3994.0,184499.0,998378.0,0.0,0.8538724780082703,1.7000000476837158,18076.0,4.791666507720947,14.899999618530273,16.34126853942871,7.567763328552246,7.336123466491699,Arkansas,4685.0,22397.0,8060.0,8060.0,8060.0,2623.862548828125,400.04888916015625
5.0,1996.0,2.0,4873.0,3898.0,187109.0,1007961.0,0.0,0.8603522181510925,1.75,18926.0,5.150000095367432,17.200000762939453,16.443939208984375,7.645904541015625,5.909547328948975,Arkansas,5459.0,25178.0,8160.0,8160.0,8160.0,2604.3642578125,386.7213134765625
5.0,1997.0,2.0,5222.0,4160.0,188307.0,1015160.0,0.0,0.993289589881897,1.7100000381469727,19590.0,5.0916666984558105,19.700000762939453,16.501972198486328,7.638605117797852,2.883406639099121,Arkansas,5719.0,28294.0,8760.0,8760.0,8760.0,2773.131103515625,409.7876281738281
5.0,1998.0,1.0,5421.0,4452.0,189224.0,1021582.0,0.0,1.0128660202026367,1.7300000190734863,20489.0,5.016666889190674,14.699999809265137,16.577486038208008,7.632823467254639,2.436898708343506,Arkansas,6979.0,28698.0,10208.0,10208.0,10208.0,2864.858642578125,435.794677734375
5.0,1999.0,2.0,4839.0,4885.5,191259.0,1026077.0,0.0,0.8860520124435425,1.75,21137.0,4.441666603088379,14.699999809265137,16.623538970947266,7.5464768409729,2.300272226333618,Arkansas,7752.0,28505.0,10426.0,10426.0,10426.0,2530.076904296875,476.13385009765625
5.0,2000.0,1.0,5772.0,5319.0,197275.0,1047173.0,0.0,0.6848430037498474,1.7400000095367432,21925.0,4.208333492279053,16.5,16.631834030151367,7.399349212646484,1.7172714471817017,Arkansas,8659.0,28409.0,10576.0,10576.0,10576.0,2925.864990234375,507.9389953613281
6.0,1985.0,1.0,16138.0,29173.0,1006144.0,10984481.0,0.0,0.9144871234893799,3.119999885559082,16956.0,7.208333492279053,13.600000381469727,10.874738693237305,7.549773693084717,5.6640777587890625,California,30127.0,210449.0,29702.0,45237.0,29702.0,1603.9453125,265.5837707519531
6.0,1986.0,1.0,19549.0,34038.0,1031588.0,11226923.0,0.0,1.3747620582580566,3.109999895095825,17668.0,6.758333206176758,12.699999809265137,10.86861801147461,7.532254219055176,9.983184814453125,California,33172.0,218526.0,32853.0,53887.0,32853.0,1895.03955078125,303.1819152832031
6.0,1987.0,1.0,22184.0,37923.0,1058006.0,11472884.0,0.0,1.6152809858322144,3.0299999713897705,18549.0,5.8416666984558105,12.300000190734863,10.856062889099121,7.443256855010986,11.518714904785156,California,41333.0,239985.0,,67424.0,41094.0,2096.7744140625,330.54461669921875
6.0,1988.0,2.0,26438.0,41741.0,1085339.0,11719027.0,0.0,1.9185340404510498,2.9000000953674316,19599.0,5.300000190734863,13.199999809265137,10.849556922912598,7.321820259094238,13.822357177734375,California,49364.0,265580.0,46279.0,70706.0,46279.0,2435.9208984375,356.18145751953125
6.0,1989.0,1.0,30066.0,47496.0,1115120.0,11992364.0,0.0,2.0604360103607178,2.7899999618530273,20585.0,5.150000095367432,12.899999618530273,10.843377113342285,7.142571926116943,18.33782386779785,California,57515.0,284437.0,48311.0,82115.0,48311.0,2696.212158203125,396.0520324707031
6.0,1990.0,2.0,32190.0,54409.0,1151823.0,12224777.0,0.0,1.3670129776000977,2.7799999713897705,21638.0,5.766666412353516,13.899999618530273,11.102365493774414,6.9386067390441895,20.337444305419922,California,67562.0,305700.0,,,52698.0,2794.7001953125,445.0715026855469
6.0,1991.0,2.0,32981.0,57880.0,1170306.0,12368809.0,0.0,1.2323999404907227,2.4600000381469727,21750.0,7.766666889190674,15.699999809265137,11.26895809173584,6.605042457580566,22.40838623046875,California,78724.0,309077.0,,,55692.0,2818.15185546875,467.9512939453125
6.0,1992.0,2.0,34279.0,63015.0,1182709.0,12514729.0,0.0,1.5758960247039795,2.5399999618530273,22492.0,9.375,16.399999618530273,11.42323112487793,6.474586009979248,23.793642044067383,California,87725.0,300635.0,,,57367.0,2898.34619140625,503.52667236328125
6.0,1993.0,1.0,36461.0,71139.0,1187550.0,12577179.0,0.0,1.4130710363388062,2.3499999046325684,22635.0,9.541666984558105,18.200000762939453,11.583382606506348,6.424366474151611,24.629953384399414,California,80845.0,302645.0,,,63293.0,3070.270751953125,565.6196899414062
6.0,1994.0,2.0,37472.0,74992.0,1185695.0,12604411.0,0.0,1.4505929946899414,2.240000009536743,23203.0,8.633333206176758,17.899999618530273,11.737286567687988,6.484391212463379,25.68888282775879,California,85082.0,277655.0,,,68366.0,3160.340576171875,594.96630859375
6.0,1995.0,2.0,39399.0,,1186676.0,12639706.0,1.0,0.943687915802002,2.2300000190734863,24161.0,7.875,16.700000762939453,11.882760047912598,6.599112033843994,24.18557357788086,California,91807.0,280545.0,,,71641.0,3320.1142578125,
6.0,1996.0,1.0,42300.0,,1193710.0,12726898.0,1.0,1.1043219566345215,2.240000009536743,25312.0,7.3416666984558105,16.899999618530273,12.028434753417969,6.771286487579346,16.181100845336914,California,99578.0,286526.0,,,72621.0,3543.57421875,
6.0,1997.0,1.0,44682.0,,1205860.0,12873778.0,1.0,0.8652980923652649,2.240000009536743,26490.0,6.416666507720947,16.600000381469727,12.139122009277344,6.918174743652344,8.009601593017578,California,104412.0,304531.0,,,76352.0,3705.4052734375,
6.0,1998.0,1.0,46235.0,,1218231.0,13052211.0,1.0,0.9395449757575989,2.1700000762939453,28374.0,5.9666666984558105,15.399999618530273,12.244769096374512,7.074317455291748,6.744943141937256,California,108424.0,324427.0,,,79875.0,3795.25732421875,
6.0,1999.0,1.0,46578.0,,1235936.0,13240243.0,1.0,0.9050351977348328,2.180000066757202,29828.0,5.25,14.0,12.362753868103027,7.173654079437256,6.194177150726318,California,114046.0,332414.0,,154467.0,80272.0,3768.641845703125,
6.0,2000.0,2.0,46243.0,,1111029.0,10019019.0,1.0,0.8286765813827515,2.190000057220459,32463.0,4.933333396911621,12.699999809265137,12.446318626403809,7.226600646972656,5.1954731941223145,California,117647.0,343145.0,,154697.0,80467.0,4162.177734375,
8.0,1985.0,1.0,665.0,2534.0,64277.0,1490871.0,0.0,-0.08687210083007812,3.1500000953674316,15438.0,6.008333206176758,10.199999809265137,4.5109710693359375,7.648518085479736,1.7759426832199097,Colorado,2003.0,17612.0,3381.0,3381.0,,1034.584716796875,169.96775817871094
8.0,1986.0,1.0,786.0,2796.0,65846.0,1501933.0,0.0,0.24801020324230194,2.869999885559082,15786.0,7.516666889190674,13.5,4.494842052459717,7.59784460067749,3.489924907684326,Colorado,1827.0,16335.0,3760.0,3760.0,,1193.6943359375,186.16009521484375
8.0,1987.0,1.0,959.0,3465.0,67237.0,1510315.0,0.0,0.30604150891304016,2.799999952316284,16275.0,7.4666666984558105,12.5,4.474620342254639,7.459377765655518,4.691856861114502,Colorado,1680.0,22981.0,4597.0,,3560.0,1426.2979736328125,229.42233276367188
8.0,1988.0,2.0,1229.0,4138.0,67815.0,1508694.0,0.0,1.713305950164795,2.7200000286102295,17130.0,6.4083333015441895,12.5,4.45719051361084,7.283501625061035,5.6700029373168945,Colorado,1743.0,23230.0,4985.0,5058.0,3538.0,1812.283447265625,274.2769470214844
8.0,1989.0,1.0,1492.0,4779.0,68726.0,1511709.0,0.0,0.9233434200286865,2.5999999046325684,18515.0,5.616666793823242,12.100000381469727,4.440203666687012,7.047595500946045,7.295773983001709,Colorado,1974.0,28037.0,4299.0,5590.0,3538.0,2170.939697265625,316.13226318359375
8.0,1990.0,1.0,1525.0,4807.0,69915.0,1521414.0,0.0,0.13278600573539734,2.390000104904175,19575.0,5.141666412353516,13.699999809265137,4.61586856842041,6.8282976150512695,9.704869270324707,Colorado,2396.0,31111.0,,6120.0,4605.0,2181.219970703125,315.9560852050781
8.0,1991.0,2.0,1801.0,5699.0,72408.0,1549561.0,0.0,0.8564261794090271,2.609999895095825,20160.0,5.449999809265137,10.399999618530273,4.692658424377441,6.562243461608887,11.898016929626465,Colorado,2306.0,32430.0,,7416.0,6239.0,2487.294189453125,367.7815856933594
8.0,1992.0,2.0,1912.0,6012.0,74685.0,1591409.0,0.0,1.0102449655532837,2.5199999809265137,21109.0,6.008333206176758,10.800000190734863,4.740485191345215,6.497310161590576,11.84231185913086,Colorado,2634.0,33700.0,,7496.0,6136.0,2560.085693359375,377.7784423828125
8.0,1993.0,1.0,2152.0,6469.0,77257.0,1636604.0,0.0,0.8743845820426941,2.630000114440918,22054.0,5.299999713897705,9.899999618530273,4.782998561859131,6.511575222015381,12.175771713256836,Colorado,2731.0,35111.0,,7880.0,6612.0,2785.508056640625,395.26971435546875
8.0,1994.0,1.0,2364.0,7052.0,79433.0,1677673.0,0.0,1.509600043296814,2.549999952316284,23004.0,4.291666507720947,9.0,4.80206298828125,6.592130184173584,12.700823783874512,Colorado,2463.0,39065.0,,8051.0,6848.0,2976.093017578125,420.3441162109375
8.0,1995.0,1.0,2496.0,7451.0,81056.0,1715364.0,0.0,1.2927299737930298,2.4700000286102295,24226.0,4.016666889190674,8.800000190734863,4.797533988952637,6.713542938232422,13.562766075134277,Colorado,3024.0,42687.0,,8543.0,7050.0,3079.3525390625,434.3684387207031
8.0,1996.0,1.0,2747.0,8137.0,82560.0,1748645.0,0.0,1.7473289966583252,2.569999933242798,25570.0,4.2166666984558105,10.600000381469727,4.822409152984619,6.849181652069092,7.576584815979004,Colorado,3294.0,42688.0,,8605.0,7104.0,3327.277099609375,465.33172607421875
8.0,1997.0,1.0,3030.0,8978.0,84503.0,1783451.0,0.0,0.8172845840454102,2.4800000190734863,26846.0,3.4000000953674316,8.199999809265137,4.862423896789551,6.985628128051758,3.956904172897339,Colorado,4139.0,45499.0,,9046.0,7643.0,3585.671630859375,503.4060363769531
8.0,1998.0,1.0,3059.0,9770.0,87364.0,1818107.0,0.0,1.7656569480895996,2.5299999713897705,28784.0,3.5166666507720947,9.199999809265137,4.949536323547363,7.1159749031066895,3.0607492923736572,Colorado,5204.0,45502.0,,9842.0,8037.0,3501.442138671875,537.3721313476562
8.0,1999.0,1.0,3310.0,10725.0,89619.0,1855963.0,0.0,2.1916770935058594,2.450000047683716,30492.0,3.0416667461395264,8.5,5.0094194412231445,7.154844284057617,2.792226552963257,Colorado,5263.0,48733.0,,11230.0,9424.0,3693.413330078125,577.8671264648438
8.0,2000.0,2.0,3586.0,,86508.0,1784513.0,1.0,1.7031430006027222,2.5999999046325684,33371.0,2.741666793823242,9.800000190734863,5.104464530944824,7.154201984405518,2.3574233055114746,Colorado,5500.0,50460.0,,12826.0,11607.0,4145.28125,
9.0,1985.0,2.0,2620.0,2094.0,118553.0,1405930.0,0.0,0.8770800828933716,2.8399999141693115,18731.0,4.5916666984558105,7.599999904632568,9.060161590576172,7.510393142700195,2.6859195232391357,Connecticut,695.0,36805.0,6072.0,4968.0,3781.0,2209.98193359375,148.9405517578125
9.0,1986.0,2.0,2890.0,2246.0,121773.0,1413869.0,0.0,1.2177850008010864,2.7899999618530273,20024.0,3.7833333015441895,6.0,9.035371780395508,7.412513732910156,4.528354644775391,Connecticut,603.0,41304.0,6072.0,4968.0,3781.0,2373.268310546875,158.85488891601562
